gamma,l,rho
2.0,11.0,1.0
12.0,16.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
6.0,14.0,0.5
10.0,16.0,1.0
6.0,13.0,2.0
12.0,18.0,3.0
0.0,10.0,0.0
2.0,12.0,0.1
6.0,15.0,0.5
2.0,10.0,1.0
6.0,13.0,2.0
8.0,17.0,3.0
0.0,11.0,0.0
2.0,11.0,0.1
2.0,11.0,0.5
10.0,16.0,1.0
6.0,14.0,2.0
6.0,14.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
4.0,12.0,0.5
8.0,14.0,1.0
6.0,12.0,2.0
14.0,19.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
4.0,12.0,0.5
4.0,12.0,1.0
4.0,14.0,2.0
4.0,11.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
8.0,15.0,0.5
8.0,15.0,1.0
12.0,15.0,2.0
14.0,17.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
4.0,12.0,0.5
8.0,15.0,1.0
6.0,14.0,2.0
12.0,17.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
2.0,12.0,0.5
8.0,13.0,1.0
10.0,16.0,2.0
2.0,11.0,3.0
0.0,11.0,0.0
2.0,11.0,0.1
6.0,14.0,0.5
0.0,12.0,1.0
6.0,13.0,2.0
10.0,17.0,3.0
2.0,12.0,0.0
2.0,11.0,0.1
4.0,12.0,0.5
8.0,13.0,1.0
20.0,10.0,2.0
10.0,15.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
2.0,11.0,0.5
6.0,14.0,1.0
10.0,16.0,2.0
12.0,18.0,3.0
0.0,10.0,0.0
4.0,12.0,0.1
2.0,11.0,0.5
8.0,14.0,1.0
12.0,16.0,2.0
12.0,15.0,3.0
2.0,11.0,0.0
2.0,13.0,0.1
0.0,11.0,0.5
4.0,15.0,1.0
8.0,14.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
10.0,16.0,0.5
4.0,13.0,1.0
8.0,15.0,2.0
4.0,12.0,3.0
4.0,13.0,0.0
6.0,14.0,0.1
8.0,14.0,0.5
6.0,14.0,1.0
8.0,16.0,2.0
10.0,14.0,3.0
0.0,10.0,0.0
2.0,9.0,0.1
2.0,12.0,0.5
6.0,12.0,1.0
12.0,17.0,2.0
16.0,18.0,3.0
4.0,14.0,0.0
0.0,10.0,0.1
4.0,13.0,0.5
6.0,15.0,1.0
8.0,14.0,2.0
6.0,12.0,3.0
4.0,13.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
10.0,14.0,1.0
10.0,16.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
6.0,15.0,0.5
8.0,15.0,1.0
8.0,16.0,2.0
8.0,12.0,3.0
2.0,12.0,0.0
4.0,13.0,0.1
4.0,12.0,0.5
8.0,15.0,1.0
16.0,8.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
8.0,15.0,0.5
2.0,10.0,1.0
6.0,11.0,2.0
18.0,20.0,3.0
4.0,12.0,0.0
2.0,12.0,0.1
10.0,15.0,0.5
6.0,13.0,1.0
8.0,14.0,2.0
14.0,18.0,3.0
4.0,13.0,0.0
2.0,12.0,0.1
4.0,11.0,0.5
8.0,16.0,1.0
0.0,12.0,2.0
18.0,21.0,3.0
0.0,11.0,0.0
2.0,12.0,0.1
2.0,11.0,0.5
2.0,12.0,1.0
10.0,14.0,2.0
4.0,12.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
6.0,14.0,0.5
2.0,12.0,1.0
6.0,13.0,2.0
8.0,15.0,3.0
0.0,10.0,0.0
2.0,12.0,0.1
6.0,13.0,0.5
12.0,19.0,1.0
8.0,16.0,2.0
6.0,12.0,3.0
0.0,12.0,0.0
2.0,10.0,0.1
2.0,11.0,0.5
4.0,13.0,1.0
4.0,12.0,2.0
6.0,13.0,3.0
2.0,11.0,0.0
0.0,10.0,0.1
6.0,13.0,0.5
6.0,15.0,1.0
4.0,11.0,2.0
16.0,20.0,3.0
0.0,11.0,0.0
0.0,10.0,0.1
4.0,11.0,0.5
4.0,11.0,1.0
12.0,16.0,2.0
6.0,12.0,3.0
2.0,11.0,0.0
4.0,12.0,0.1
4.0,13.0,0.5
2.0,10.0,1.0
4.0,12.0,2.0
6.0,12.0,3.0
2.0,11.0,0.0
4.0,13.0,0.1
6.0,13.0,0.5
4.0,10.0,1.0
12.0,19.0,2.0
10.0,17.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
8.0,14.0,0.5
6.0,14.0,1.0
14.0,16.0,2.0
8.0,13.0,3.0
4.0,13.0,0.0
4.0,13.0,0.1
8.0,16.0,0.5
12.0,16.0,1.0
10.0,17.0,2.0
22.0,20.0,3.0
4.0,13.0,0.0
4.0,11.0,0.1
10.0,15.0,0.5
6.0,13.0,1.0
6.0,12.0,2.0
12.0,17.0,3.0
2.0,11.0,0.0
2.0,11.0,0.1
4.0,12.0,0.5
6.0,14.0,1.0
6.0,13.0,2.0
12.0,15.0,3.0
0.0,10.0,0.0
6.0,14.0,0.1
2.0,11.0,0.5
10.0,15.0,1.0
6.0,13.0,2.0
6.0,12.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
8.0,14.0,0.5
8.0,15.0,1.0
10.0,15.0,2.0
12.0,17.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
4.0,13.0,1.0
4.0,13.0,2.0
6.0,13.0,3.0
4.0,13.0,0.0
2.0,11.0,0.1
6.0,14.0,0.5
8.0,15.0,1.0
10.0,15.0,2.0
4.0,12.0,3.0
2.0,11.0,0.0
0.0,10.0,0.1
6.0,15.0,0.5
10.0,17.0,1.0
6.0,13.0,2.0
0.0,13.0,3.0
2.0,11.0,0.0
2.0,12.0,0.1
6.0,12.0,0.5
4.0,12.0,1.0
12.0,18.0,2.0
8.0,15.0,3.0
4.0,13.0,0.0
2.0,12.0,0.1
6.0,13.0,0.5
10.0,16.0,1.0
8.0,14.0,2.0
10.0,15.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
8.0,16.0,1.0
4.0,13.0,2.0
10.0,16.0,3.0
4.0,13.0,0.0
0.0,11.0,0.1
4.0,13.0,0.5
8.0,14.0,1.0
14.0,17.0,2.0
6.0,15.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
8.0,14.0,1.0
6.0,12.0,2.0
8.0,14.0,3.0
6.0,14.0,0.0
2.0,11.0,0.1
8.0,15.0,0.5
2.0,11.0,1.0
10.0,17.0,2.0
18.0,20.0,3.0
4.0,12.0,0.0
6.0,15.0,0.1
4.0,13.0,0.5
2.0,11.0,1.0
16.0,20.0,2.0
10.0,16.0,3.0
0.0,11.0,0.0
4.0,13.0,0.1
4.0,13.0,0.5
4.0,13.0,1.0
8.0,14.0,2.0
10.0,14.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
2.0,11.0,0.5
4.0,12.0,1.0
6.0,13.0,2.0
18.0,20.0,3.0
0.0,10.0,0.0
4.0,12.0,0.1
0.0,10.0,0.5
8.0,14.0,1.0
12.0,17.0,2.0
18.0,19.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
2.0,12.0,1.0
6.0,14.0,2.0
8.0,15.0,3.0
2.0,12.0,0.0
4.0,12.0,0.1
10.0,15.0,0.5
4.0,13.0,1.0
6.0,12.0,2.0
12.0,17.0,3.0
0.0,10.0,0.0
4.0,11.0,0.1
2.0,12.0,0.5
12.0,18.0,1.0
10.0,17.0,2.0
10.0,15.0,3.0
2.0,11.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
4.0,12.0,1.0
8.0,15.0,2.0
10.0,14.0,3.0
6.0,14.0,0.0
4.0,12.0,0.1
2.0,12.0,0.5
0.0,8.0,1.0
10.0,16.0,2.0
8.0,14.0,3.0
0.0,10.0,0.0
2.0,12.0,0.1
6.0,14.0,0.5
12.0,18.0,1.0
10.0,14.0,2.0
10.0,14.0,3.0
4.0,12.0,0.0
0.0,11.0,0.1
0.0,12.0,0.5
4.0,14.0,1.0
2.0,9.0,2.0
6.0,13.0,3.0
0.0,10.0,0.0
0.0,9.0,0.1
2.0,11.0,0.5
8.0,14.0,1.0
8.0,12.0,2.0
14.0,19.0,3.0
2.0,11.0,0.0
4.0,13.0,0.1
10.0,16.0,0.5
2.0,10.0,1.0
16.0,20.0,2.0
8.0,14.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
10.0,17.0,1.0
8.0,16.0,2.0
16.0,21.0,3.0
0.0,10.0,0.0
10.0,17.0,0.1
6.0,14.0,0.5
12.0,19.0,1.0
4.0,11.0,2.0
12.0,17.0,3.0
0.0,10.0,0.0
8.0,15.0,0.1
8.0,14.0,0.5
4.0,13.0,1.0
8.0,15.0,2.0
12.0,16.0,3.0
0.0,10.0,0.0
2.0,12.0,0.1
4.0,13.0,0.5
10.0,16.0,1.0
18.0,21.0,2.0
8.0,14.0,3.0
0.0,11.0,0.0
2.0,11.0,0.1
0.0,10.0,0.5
10.0,17.0,1.0
8.0,16.0,2.0
6.0,11.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
8.0,14.0,0.5
6.0,14.0,1.0
6.0,13.0,2.0
14.0,20.0,3.0
0.0,10.0,0.0
2.0,12.0,0.1
8.0,15.0,0.5
4.0,13.0,1.0
10.0,16.0,2.0
6.0,12.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
2.0,12.0,0.5
8.0,14.0,1.0
6.0,14.0,2.0
8.0,13.0,3.0
4.0,13.0,0.0
0.0,10.0,0.1
2.0,9.0,0.5
8.0,14.0,1.0
8.0,14.0,2.0
16.0,18.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
6.0,12.0,0.5
10.0,15.0,1.0
8.0,14.0,2.0
10.0,14.0,3.0
4.0,14.0,0.0
2.0,12.0,0.1
10.0,15.0,0.5
10.0,15.0,1.0
4.0,14.0,2.0
14.0,18.0,3.0
2.0,11.0,0.0
0.0,10.0,0.1
4.0,11.0,0.5
0.0,10.0,1.0
6.0,14.0,2.0
8.0,13.0,3.0
0.0,10.0,0.0
4.0,11.0,0.1
6.0,13.0,0.5
6.0,14.0,1.0
6.0,12.0,2.0
12.0,9.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
8.0,15.0,1.0
6.0,12.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
4.0,12.0,0.1
2.0,12.0,0.5
4.0,12.0,1.0
16.0,19.0,2.0
10.0,11.0,3.0
2.0,12.0,0.0
0.0,12.0,0.1
8.0,16.0,0.5
0.0,10.0,1.0
8.0,14.0,2.0
10.0,16.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
8.0,15.0,0.5
8.0,17.0,1.0
12.0,17.0,2.0
6.0,15.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
6.0,15.0,0.5
6.0,13.0,1.0
10.0,17.0,2.0
16.0,21.0,3.0
6.0,15.0,0.0
0.0,10.0,0.1
4.0,11.0,0.5
10.0,15.0,1.0
6.0,14.0,2.0
10.0,16.0,3.0
4.0,13.0,0.0
0.0,11.0,0.1
6.0,14.0,0.5
6.0,15.0,1.0
16.0,18.0,2.0
12.0,18.0,3.0
0.0,10.0,0.0
6.0,14.0,0.1
4.0,12.0,0.5
6.0,12.0,1.0
10.0,16.0,2.0
18.0,22.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
4.0,12.0,0.5
6.0,12.0,1.0
2.0,10.0,2.0
16.0,19.0,3.0
2.0,11.0,0.0
4.0,12.0,0.1
6.0,13.0,0.5
2.0,9.0,1.0
10.0,17.0,2.0
10.0,16.0,3.0
0.0,11.0,0.0
2.0,11.0,0.1
4.0,12.0,0.5
6.0,14.0,1.0
8.0,15.0,2.0
10.0,15.0,3.0
0.0,12.0,0.0
0.0,10.0,0.1
2.0,10.0,0.5
6.0,15.0,1.0
4.0,13.0,2.0
8.0,14.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
4.0,13.0,0.5
4.0,12.0,1.0
10.0,17.0,2.0
12.0,17.0,3.0
2.0,11.0,0.0
2.0,11.0,0.1
4.0,12.0,0.5
2.0,11.0,1.0
16.0,17.0,2.0
18.0,21.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
2.0,11.0,0.5
6.0,14.0,1.0
10.0,14.0,2.0
12.0,17.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
8.0,14.0,0.5
8.0,15.0,1.0
10.0,16.0,2.0
6.0,14.0,3.0
2.0,12.0,0.0
2.0,12.0,0.1
10.0,16.0,0.5
4.0,13.0,1.0
12.0,18.0,2.0
2.0,10.0,3.0
4.0,12.0,0.0
2.0,11.0,0.1
10.0,14.0,0.5
4.0,14.0,1.0
8.0,17.0,2.0
12.0,18.0,3.0
2.0,11.0,0.0
2.0,11.0,0.1
10.0,15.0,0.5
6.0,16.0,1.0
10.0,17.0,2.0
0.0,11.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
4.0,13.0,0.5
6.0,14.0,1.0
8.0,15.0,2.0
14.0,20.0,3.0
2.0,12.0,0.0
0.0,10.0,0.1
6.0,14.0,0.5
6.0,14.0,1.0
8.0,14.0,2.0
18.0,20.0,3.0
0.0,10.0,0.0
4.0,13.0,0.1
4.0,13.0,0.5
6.0,13.0,1.0
14.0,18.0,2.0
10.0,15.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
4.0,12.0,0.5
6.0,14.0,1.0
14.0,18.0,2.0
10.0,15.0,3.0
0.0,11.0,0.0
0.0,11.0,0.1
6.0,14.0,0.5
8.0,14.0,1.0
8.0,12.0,2.0
4.0,12.0,3.0
0.0,10.0,0.0
2.0,11.0,0.1
4.0,13.0,0.5
4.0,11.0,1.0
12.0,16.0,2.0
14.0,18.0,3.0
0.0,10.0,0.0
6.0,14.0,0.1
4.0,13.0,0.5
6.0,12.0,1.0
8.0,15.0,2.0
16.0,20.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
4.0,13.0,0.5
2.0,13.0,1.0
4.0,11.0,2.0
16.0,19.0,3.0
0.0,11.0,0.0
2.0,12.0,0.1
6.0,13.0,0.5
8.0,15.0,1.0
8.0,13.0,2.0
4.0,12.0,3.0
