gamma,l,rho
3.0,12.0,0.1
0.0,10.0,0.5
6.0,13.0,1.0
10.5,18.0,2.0
6.0,13.0,3.0
3.0,13.0,0.0
0.0,10.0,0.1
0.0,11.0,0.5
1.5,11.0,1.0
4.5,13.0,2.0
4.5,13.0,3.0
0.0,11.0,0.0
1.5,12.0,0.1
0.0,11.0,0.5
6.0,12.0,1.0
4.5,15.0,2.0
15.0,23.0,3.0
0.0,11.0,0.0
1.5,12.0,0.1
3.0,11.0,0.5
3.0,12.0,1.0
6.0,15.0,2.0
6.0,15.0,3.0
1.5,11.0,0.0
1.5,11.0,0.1
4.5,13.0,0.5
4.5,16.0,1.0
3.0,10.0,2.0
7.5,16.0,3.0
0.0,11.0,0.0
1.5,12.0,0.1
4.5,14.0,0.5
3.0,13.0,1.0
4.5,12.0,2.0
6.0,13.0,3.0
0.0,10.0,0.0
1.5,11.0,0.1
1.5,12.0,0.5
4.5,14.0,1.0
7.5,15.0,2.0
7.5,17.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
1.5,13.0,0.5
9.0,19.0,1.0
6.0,15.0,2.0
10.5,19.0,3.0
0.0,11.0,0.0
1.5,11.0,0.1
3.0,13.0,0.5
7.5,17.0,1.0
9.0,17.0,2.0
3.0,13.0,3.0
1.5,12.0,0.0
0.0,10.0,0.1
9.0,18.0,0.5
6.0,15.0,1.0
4.5,13.0,2.0
6.0,15.0,3.0
1.5,12.0,0.0
3.0,13.0,0.1
4.5,15.0,0.5
6.0,15.0,1.0
13.5,19.0,2.0
12.0,21.0,3.0
0.0,10.0,0.0
3.0,13.0,0.1
4.5,13.0,0.5
6.0,14.0,1.0
4.5,12.0,2.0
4.5,12.0,3.0
0.0,11.0,0.0
1.5,12.0,0.1
4.5,15.0,0.5
7.5,16.0,1.0
7.5,15.0,2.0
9.0,18.0,3.0
0.0,11.0,0.0
3.0,13.0,0.1
1.5,12.0,0.5
3.0,12.0,1.0
9.0,18.0,2.0
10.5,17.0,3.0
0.0,11.0,0.0
1.5,14.0,0.1
4.5,13.0,0.5
6.0,16.0,1.0
7.5,15.0,2.0
4.5,11.0,3.0
1.5,12.0,0.0
3.0,14.0,0.1
3.0,12.0,0.5
7.5,17.0,1.0
6.0,13.0,2.0
9.0,16.0,3.0
1.5,12.0,0.0
0.0,11.0,0.1
4.5,16.0,0.5
3.0,13.0,1.0
3.0,11.0,2.0
9.0,17.0,3.0
0.0,10.0,0.0
1.5,11.0,0.1
3.0,12.0,0.5
3.0,13.0,1.0
3.0,12.0,2.0
4.5,11.0,3.0
0.0,11.0,0.0
0.0,10.0,0.1
4.5,16.0,0.5
3.0,13.0,1.0
7.5,16.0,2.0
3.0,9.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
4.5,14.0,0.5
3.0,14.0,1.0
4.5,13.0,2.0
7.5,15.0,3.0
0.0,10.0,0.0
3.0,12.0,0.1
0.0,11.0,0.5
4.5,14.0,1.0
9.0,19.0,2.0
10.5,17.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
1.5,12.0,0.5
3.0,13.0,1.0
6.0,15.0,2.0
7.5,15.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
6.0,15.0,0.5
4.5,15.0,1.0
4.5,13.0,2.0
10.5,18.0,3.0
0.0,12.0,0.0
3.0,12.0,0.1
4.5,14.0,0.5
4.5,12.0,1.0
9.0,16.0,2.0
4.5,12.0,3.0
0.0,10.0,0.0
6.0,17.0,0.1
3.0,13.0,0.5
6.0,14.0,1.0
6.0,14.0,2.0
7.5,15.0,3.0
1.5,12.0,0.0
1.5,11.0,0.1
4.5,13.0,0.5
3.0,12.0,1.0
3.0,13.0,2.0
7.5,15.0,3.0
1.5,12.0,0.0
0.0,11.0,0.1
4.5,14.0,0.5
6.0,14.0,1.0
6.0,15.0,2.0
4.5,12.0,3.0
0.0,11.0,0.0
0.0,9.0,0.1
3.0,13.0,0.5
9.0,17.0,1.0
4.5,15.0,2.0
6.0,13.0,3.0
3.0,13.0,0.0
3.0,13.0,0.1
4.5,14.0,0.5
6.0,15.0,1.0
9.0,17.0,2.0
4.5,12.0,3.0
0.0,10.0,0.0
0.0,11.0,0.1
3.0,14.0,0.5
3.0,13.0,1.0
7.5,15.0,2.0
6.0,15.0,3.0
4.5,14.0,0.0
1.5,12.0,0.1
3.0,12.0,0.5
7.5,16.0,1.0
6.0,14.0,2.0
12.0,19.0,3.0
6.0,16.0,0.0
0.0,10.0,0.1
1.5,12.0,0.5
1.5,12.0,1.0
6.0,16.0,2.0
7.5,14.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
3.0,12.0,0.5
4.5,14.0,1.0
3.0,14.0,2.0
12.0,21.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
0.0,9.0,0.5
3.0,12.0,1.0
10.5,18.0,2.0
7.5,15.0,3.0
1.5,12.0,0.0
4.5,13.0,0.1
1.5,11.0,0.5
3.0,13.0,1.0
7.5,16.0,2.0
9.0,18.0,3.0
0.0,10.0,0.0
0.0,12.0,0.1
3.0,13.0,0.5
4.5,15.0,1.0
4.5,15.0,2.0
7.5,17.0,3.0
1.5,12.0,0.0
0.0,10.0,0.1
4.5,15.0,0.5
3.0,13.0,1.0
9.0,17.0,2.0
4.5,13.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
1.5,12.0,0.5
4.5,13.0,1.0
7.5,17.0,2.0
6.0,12.0,3.0
0.0,10.0,0.0
3.0,13.0,0.1
3.0,14.0,0.5
6.0,16.0,1.0
12.0,9.0,2.0
9.0,17.0,3.0
0.0,10.0,0.0
1.5,10.0,0.1
1.5,10.0,0.5
6.0,14.0,1.0
10.5,19.0,2.0
16.5,21.0,3.0
0.0,11.0,0.0
1.5,12.0,0.1
1.5,13.0,0.5
3.0,14.0,1.0
10.5,18.0,2.0
9.0,17.0,3.0
0.0,11.0,0.0
1.5,11.0,0.1
3.0,12.0,0.5
3.0,12.0,1.0
7.5,14.0,2.0
7.5,13.0,3.0
0.0,11.0,0.0
3.0,13.0,0.1
1.5,13.0,0.5
4.5,13.0,1.0
4.5,12.0,2.0
3.0,7.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
1.5,13.0,0.5
3.0,13.0,1.0
7.5,16.0,2.0
4.5,16.0,3.0
1.5,12.0,0.0
4.5,15.0,0.1
3.0,13.0,0.5
6.0,14.0,1.0
9.0,16.0,2.0
12.0,20.0,3.0
1.5,12.0,0.0
1.5,13.0,0.1
3.0,12.0,0.5
3.0,12.0,1.0
6.0,15.0,2.0
7.5,14.0,3.0
0.0,10.0,0.0
1.5,12.0,0.1
3.0,13.0,0.5
4.5,15.0,1.0
4.5,15.0,2.0
10.5,15.0,3.0
0.0,10.0,0.0
0.0,9.0,0.1
4.5,15.0,0.5
6.0,16.0,1.0
7.5,16.0,2.0
4.5,13.0,3.0
0.0,10.0,0.0
3.0,12.0,0.1
3.0,13.0,0.5
1.5,10.0,1.0
6.0,14.0,2.0
6.0,13.0,3.0
0.0,10.0,0.0
1.5,11.0,0.1
3.0,12.0,0.5
3.0,14.0,1.0
6.0,15.0,2.0
7.5,16.0,3.0
0.0,11.0,0.0
1.5,11.0,0.1
4.5,13.0,0.5
4.5,14.0,1.0
9.0,14.0,2.0
4.5,6.0,3.0
0.0,11.0,0.0
1.5,11.0,0.1
6.0,17.0,0.5
4.5,14.0,1.0
7.5,15.0,2.0
6.0,7.0,3.0
0.0,11.0,0.0
1.5,11.0,0.1
1.5,13.0,0.5
4.5,12.0,1.0
6.0,17.0,2.0
7.5,14.0,3.0
1.5,12.0,0.0
0.0,11.0,0.1
7.5,15.0,0.5
3.0,13.0,1.0
10.5,16.0,2.0
12.0,19.0,3.0
0.0,10.0,0.0
0.0,10.0,0.1
4.5,14.0,0.5
4.5,15.0,1.0
10.5,17.0,2.0
7.5,15.0,3.0
0.0,11.0,0.0
6.0,15.0,0.1
3.0,13.0,0.5
4.5,13.0,1.0
3.0,13.0,2.0
10.5,17.0,3.0
